[2026-09-07 18:46:55,359] 18 root - INFO - Initiate the data ingestion
[2026-09-07 18:46:57,548] 57 root - INFO - Performed train test split
[2026-09-07 18:46:57,548] 58 root - INFO - Existed split_data_as_train_test method of Data_Ingestion class
[2026-09-07 18:46:57,548] 63 root - INFO - Exporting train and test file path
[2026-09-07 18:46:57,597] 71 root - INFO - Exported train and test file path
[2026-09-07 18:46:57,598] 20 root - INFO - Data initiation completed
[2026-09-07 18:46:57,606] 25 root - INFO - Initiate the data validation
[2026-09-07 18:46:57,699] 32 root - INFO - Required number of columns: 2
[2026-09-07 18:46:57,699] 33 root - INFO - Data frame has columns: 31
[2026-09-07 18:46:57,699] 32 root - INFO - Required number of columns: 2
[2026-09-07 18:46:57,699] 33 root - INFO - Data frame has columns: 31
[2026-09-07 18:46:57,824] 27 root - INFO - Data validation completed
[2026-09-07 18:46:57,824] 31 root - INFO - Data Transformation started
[2026-09-07 18:46:57,824] 41 root - INFO - Entered initiate_dat_transformation method of DataTransformation class
[2026-09-07 18:46:57,825] 43 root - INFO - Starting data transformation
[2026-09-07 18:46:57,908] 31 root - INFO - Entered get_dat_transformer_object method of transformation class
[2026-09-07 18:46:57,908] 34 root - INFO - Initialize KNNimputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[2026-09-07 18:46:57,921] 50 root - INFO - Entered the save_object method of MainUtils class
[2026-09-07 18:46:57,926] 55 root - INFO - Exited the save_object method of MainUtils class
[2026-09-07 18:46:57,927] 35 root - INFO - Data Transformation completed
[2026-09-07 18:46:57,927] 37 root - INFO - Model Training Started
[2026-09-07 18:49:56,083] 50 root - INFO - Entered the save_object method of MainUtils class
[2026-09-07 18:49:56,085] 55 root - INFO - Exited the save_object method of MainUtils class
[2026-09-07 18:49:56,085] 50 root - INFO - Entered the save_object method of MainUtils class
[2026-09-07 18:49:56,142] 55 root - INFO - Exited the save_object method of MainUtils class
[2026-09-07 18:49:56,143] 112 root - INFO - Model trainer artifact: ModelTrainerArtifact(trained_model_file_path='Artifacts\\09_07_2026_18_46_46\\model_trainer\\trained_model\\model.pkl', train_metric_artifact=ClassificationMetricArtifact(f1_score=0.9905535804977146, precision_score=0.989448051948052, recall_score=0.9916615822656091), test_metric_artifact=ClassificationMetricArtifact(f1_score=0.9768185451638689, precision_score=0.9683042789223455, recall_score=0.9854838709677419))
[2026-09-07 18:49:56,145] 41 root - INFO - Model Training artifact created
